"ProgramName","DemoURL","URL","Description","Types","ProvideDeptName","AgencyCodes","ContactAgency","ContactName","ContactEmail","Tel","Extension","PracticalCase","Teches","Authorization","VulnerabilityScan","ApiInfo"
"臺南市登革熱防疫現場數位工具 - 後端","","https://github.com/moda-gov-tw/civic-tech-experimental-field-dengue-backend;","本案為「112年數位發展部公民科技試驗場域示範案」由「好想打流感」團隊開發的「臺南市登革熱防疫現場數位工具」透過與臺南市政府衛生局的合作，協助開發數位工具以簡化登革熱防治工作上的流程，並改善目前繁瑣的人工確認作業及掌握更即時的資訊。","表單填寫/資料上傳;個案管理;地圖資訊呈現;資料一覽/檢索;數據呈現","數位發展部","A29000000G","數位發展部","張汶庭","karenwtchang@moda.gov.tw","02-23800322","","","Node.js;Firebase Realtime Database;Vue.js;HTML/CSS;Javascript","","OWASP,;",""
"臺南市登革熱防疫現場數位工具 - 前臺","","https://github.com/moda-gov-tw/civic-tech-experimental-field-dengue-frontend;","本案為「112年數位發展部公民科技試驗場域示範案」由「好想打流感」團隊開發的「臺南市登革熱防疫現場數位工具」透過與臺南市政府衛生局的合作，協助開發數位工具以簡化登革熱防治工作上的流程，並改善目前繁瑣的人工確認作業及掌握更即時的資訊。","表單填寫/資料上傳;個案管理;地圖資訊呈現;資料一覽/檢索;數據呈現","數位發展部","A29000000G","數位發展部","張汶庭","karenwtchang@moda.gov.tw","02-23800322","","","Node.js;Vue.js;HTML/CSS;Javascript;MongoDB","","OWASP,;",""
"臺南淹水避難點警示及引導","","https://github.com/tainancity/tainanthon2024-floodguard;","本專案為「2024年AI台南數位城市治理黑客松」由公民團隊基於凱米颱風溢堤事件民眾避難路線受阻問題，開發結合避難路徑規劃功能的應用系統，整合臺南市避難收容處所資料，並透過群眾回報機制收集即時路況資訊，協助在災時找到可通行的安全避難路線，輔助提升災害應變效率與避難安全。","表單填寫/資料上傳;地圖資訊呈現","臺南市政府","376610000A","臺南市政府智慧發展中心","謝秀琪分析師","dopcsn@mail.tainan.gov.tw","06-2991111","8909","","HTML/CSS;Javascript;Python","","Fortify,;",""
"數位名片","","https://github.com/moda-gov-tw/DB-Card;","因應數位化時代對隱私保護的重視，數位發展部於 2025 年7月開發此開源 NFC數位名片系統。有別於傳統需要後端伺服器儲存個資的數位名片，本專案採用「隱私優先」理念，將個人資料直接儲存在 NFC 卡片中，透過純前端架構實現一觸即用的數位名片功能。內建多層安全防護機制，包含 DOMPurify 3.2.4 XSS 防護、URL 驗證與惡意資料過濾，確保使用者資料安全與隱私完全自主掌控。

 [DB-Card 主要程式庫]　github連結描述：
  完整的 NFC 數位名片系統前端程式碼，包含：
  - 純前端 HTML/CSS/JavaScript 實作
  - 多語言數位名片介面（中英文雙語）
  - NFC 資料解析與動態渲染功能
  - SecurityUtils 安全防護模組
  - DOMPurify 3.2.4 XSS 防護機制
  - QR Code 生成與 vCard 匯出功能
  - 完整的安全測試與文件說明
  - 部署用靜態資源檔案
  註：本專案採用純前端架構，無需後端程式碼","多語系;NFC 一觸分享;隱私優先設計;動態名片渲染;智慧 vCard 匯出;安全防護機制","數位發展部","A29000000G","數位發展部資訊處","科長","iim0663418@moda.gov.tw","","","","HTML/CSS;Javascript;Responsive Web Design;DOMPurify;QRCode;SecurityUtils;NFC Data Exchange Format;CI/CD","","Fortify,;",""
"地址標準寫法API","https://adrid.moi.gov.tw/","https://github.com/moistat/adrid-moi-gov;","本程式提供地址轉換為標準格式，並切割結構要素，如縣市、鄉鎮市區、路地名與號樓等，以利後續比對與分析，提升地址的可讀性與應用效率。
(內政部為提升公部門資料整合效率，建立以數字及英文字母組成的地址識別碼(7碼流水號+1碼檢核碼)，如同地址身分證字號，本程式為比對地址識別碼程式之其中一環。)","地址正規化，將地址要件轉換為標準寫法;地址欄位切割","內政部","A01000000A","內政部統計處","陳昭如專員","moi1546@moi.gov.tw","02-2356-5537","","","Java;Spring Boot","MPL License 2.0","Fortify,OWASP Top 10 2021;Fortify,CWE Top 25;","地址標準寫法API,地址正規化將地址轉換為標準格式，統一字詞；而地址欄位切割則將完整地址拆解為縣市、區域、街道等結構化要素，以利後續比對與分析，提升地址的可讀性與應用效率。,https://adrid.moi.gov.tw/iisi/swagger-ui/index.html#/api-key-resource/queryStandardAddress;"
"城市通架構","https://townpass.taipei/","https://github.com/taipei-doit/TownPass;","為持續朝向服務型政府目標邁進，並推廣開源及開放政策，臺北市政府資訊局希望透過「台北通」的經驗，逐步將開源技術融入，打造城市通。
城市通架構為初步建立行政機關應用程式規劃的基底，依據公部門政策推廣與民眾經驗回饋進行相關介面架構設計，以期提供良好的使用體驗並增進行政效率。","市政應用程式框架","臺北市政府資訊局","379730000A","臺北市政府資訊局","高甄苡","","02-27208889","51827","","Dart;Flutter","AGPL-3.0","Checkmarx OWASP TOP 10,高風險：2(此為誤判將客服email認定為敏感個資)；中風險：0 ；低風險：12;",""
"城市通服務","https://townpass.taipei/","https://github.com/taipei-doit/TownPass-Services;","臺北市政府資訊局希望透過「台北通」的經驗，逐步將開源技術融入，打造城市通。
為優化更多市政服務，實踐更好的使用體驗、提升行政效率，另將城市通服務項目開源，並供各界取用，簡化開發流程，實現共創共益精神！","地圖資訊呈現;微服務","臺北市政府資訊局","379730000A","臺北市政府資訊局","高甄苡","","02-27208889 ","51827","","Vue.js;HTML/CSS;Javascript;TypeScript","AGPL-3","Checkmarx OWASP TOP 10,高風險：0；中風險：0；低風險：2;",""
"災害影響評估平臺","","https://github.com/tainancity/tainanthon2024-water-resource-map-application;","本專案為「2024年AI臺南數位城市治理黑客松」由臺南市水利局與公民團隊「再水五分鐘」合作開發的災害影響評估平臺，主要功能是開發地圖範圍資訊標記工具，協助使用者可以在地圖上標記多邊形範圍（淹水影響範圍），自動計算該範圍的面積、戶數與人口數，輔助機關依淹水範圍評估災後影響，未來更可擴展為紀錄實際淹水範圍作為開放資料，以利外部利用與分析。","地圖資訊呈現;數據呈現","臺南市政府","376610000A","臺南市政府智慧發展中心","謝秀琪分析師","dopcsn@mail.tainan.gov.tw","06-2991111","8909","","Python;Dockerfile","MIT License","Fortify Source Code Analyzer,Critical:0  High:0  Medium:0  Low:0;",""
"公有資產管理平臺(後端)","","https://github.com/tainancity/tainanthon2024-city-activitas-backend;","本專案為「2024年AI臺南數位城市治理黑客松」由臺南市財稅局與公民團隊「City Activitas」合作開發的公有資產管理平臺，協助單位將資料整合，並提供公產查詢、公產填報、上傳圖片、報表產製等功能，輔助單位進行公有資產管理。","表單填寫/資料上傳;資料一覽/檢索;數據呈現","臺南市政府","376610000A","臺南市政府智慧發展中心","謝秀琪分析師","dopcsn@mail.tainan.gov.tw","06-2991111","8909","","Python","MIT License","Fortify Source Code Analyzer,Critical:0  High:0  Medium:0  Low:6;",""
"公有資產管理平臺(前端)","","https://github.com/tainancity/tainanthon2024-city-activitas;","本專案為「2024年AI臺南數位城市治理黑客松」由臺南市財稅局與公民團隊「City Activitas」合作開發的公有資產管理平臺，協助單位將資料整合，並提供公產查詢、公產填報、上傳圖片、報表產製等功能，輔助單位進行公有資產管理。","表單填寫/資料上傳;資料一覽/檢索;數據呈現","臺南市政府","376610000A","臺南市政府智慧發展中心","謝秀琪分析師","dopcsn@mail.tainan.gov.tw","06-2991111","8909","","HTML/CSS;Javascript;TypeScript","MIT License","Fortify Source Code Analyzer,Critical:0  High:0  Medium:0  Low:8;",""
"無人機搜救影像辨識","","https://github.com/tainancity/tainanthon2024-drone-human-detection;","本專案為「2024年AI臺南數位城市治理黑客松」由臺南市消防局與公民團隊合作開發的自動化AI辨識搜救系統，系統使用RT-DETR模型架構進行影像辨識，通過邊緣運算即時處理空拍畫面並定位目標，輔助搜救人員快速搜尋水中目標，提升搜救效率。","數據呈現","臺南市政府","376610000A","臺南市政府智慧發展中心","謝秀琪分析師","dopcsn@mail.tainan.gov.tw","06-2991111","8909","","Python","MIT License","Fortify Source Code Analyzer,Critical:0  High:0  Medium:0  Low:0;",""
"動態模版Word文件生成系統","","https://github.com/moda-gov-tw/dynamic-template-doc-gen;","使用 Poi-tl 模板引擎作為核心技術，透過 Word 模板實現動態文檔生成。可適用於批量處理與高併發應用，如報告生成、合同製作和邀請函定制等。

使用者只需在 Word 編輯器中設計模板，利用簡單的標記語法（如 {{name}}、{{table}} 等）定義占位符，便可設定所需的樣式與結構。程式端負責處理資料準備與格式轉換，包括資料組合、日期格式化、數值處理等。同時，支援複雜數據結構的動態綁定，如嵌套表格與多層資料，滿足不同的需求。","模板定義;產出檔案","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Java;Spring Boot;Poi-tl","Apache License 2.0","Fortify SCA,Critical:0  High:0  Medium:0  Low:1;",""
"使用者操作稽核記錄系統","","https://github.com/moda-gov-tw/user-operation-recording-module;","追蹤使用者在系統中的操作行為。該系統能夠即時捕捉並儲存重要的操作資訊，包括登入登出、資料查詢、修改、刪除及其他關鍵性操作，確保數據透明性與行為可追溯性。

透過靈活的報表生成功能，管理者可快速檢視特定使用者或時間範圍內的操作記錄，輕鬆應對內部稽核需求與法規遵循。","行為追蹤;稽核報表","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Spring Boot;Spring Data JPA;Hibernate;H2 Database","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:2;",""
"電子公文封裝檔附件名稱解析","","https://github.com/moenv-tw/docsi;","環境部因應經費核銷電子化作業需求，將經過簽章之電子公文封裝檔回傳預算會計系統供會計人員審核，惟封裝檔之附件名稱為雜湊字串組成，不易辨識，爰發展本程式將雜湊字串反推回原始附件檔名稱，以利會計人員辨識附件資訊。","文書處理;資料解析","環境部","A23000000I","環境部監測資訊司","余家光","ckyu@moenv.gov.tw","","","","C#;.NET","MIT License","CodeSecure,無弱點;",""
"網站防竄改偵測系統","","https://github.com/moda-gov-tw/website-tampering-detection-system;","當特定網站或系統的檔案目錄需要時時監控以確保未經授權進行竄改時，本系統提供檔案目錄偵測及還原功能，解決系統中檔案遭受入侵竄改時難以及時發現與恢復的問題。

本系統能即時偵測到目標系統中目錄中的變更狀態，並在發現檔案被竄改時，立即通知相關人員，同時自動還原目錄檔案的原始內容，達到保障系統安全維運與資料完整性的目的。

簡列說明：
1. 偵測紀錄查詢
2. 偵測網站設定
3. 通知設定
4. 受竄改還原設定","訊息處理/通知;網站防竄改;檔案目錄偵測","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Spring Boot;Spring Data JPA;Hibernate;H2 Database","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:5;",""
"數據分析圖示化網站","","https://github.com/moda-gov-tw/data-analysis-graph;","當需要將原始數據轉為可視化圖表時，本網站提供數據轉換為各類圖表的範例功能，解決了原始數據難以直觀呈現的問題。透過此功能，用戶能將複雜的數據轉換為易於理解的圖形，達到提升數據分析效率與視覺化呈現效果的目的。

功能摘要：
1. 前後端網站框架範例
2. 資料透過Cytoscape轉換成各類圖形範例
3. 使用Vue3刻劃頁面展示資料圖視化效果","資料/檔案轉換;圖視化;網站框架;數據分析","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Vue.js;Javascript;Spring Boot;Cytoscape","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:3;",""
"檔案傳輸案件管理系統","","https://github.com/moda-gov-tw/files-flow-tran-shub;","當需要資訊系統自動化檔案傳輸進行集中管理，以有效稽核追蹤檔案傳輸紀錄及統計資料傳輸應用的績效時，本系統提供自動化檔案傳輸記錄及管理功能，解決跨系統傳輸檔案管理成本高昂且紀錄彙整錯誤繁瑣的問題。本系統可自動化執行依據註冊好的傳輸服務，取得來源與目的端的連線資訊，從來源端檔案伺服器下載檔案，並自動上傳至目的端伺服器。

跨資訊系統整合時，亦可透過 REST API 發動檔案傳輸作業，系統則會將所有傳輸狀態與交換歷程詳細記錄至資料庫。透過簡單的管理介面，使用者能方便管理檔案傳輸設定與查看傳輸生命週期的紀錄，達到提升檔案傳輸效率與有效應用管理傳輸紀錄之目的。

功能摘要：
1. 來源端與目的端設定
2. 檔案傳輸
3. 檔案傳輸記錄
4. SFTP連線測試","自動化;集中管理;介接/傳輸","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Spring Boot;Spring Data JPA;Hibernate;H2 Database","Apache 2.0","Fortify SCA,Critical:0  High:0  Medium:0  Low:0;",""
"資料檢核及安全處理系統","","https://github.com/moda-gov-tw/data-validation-and-security-processing-system;","當資訊系統需要進行後端資料檢核、遮罩或轉換時，本模組提供針對常見資料的檢核、轉換與解析功能，解決了後端資料處理中的準確性與安全性問題。透過這些功能，系統能夠有效確保資料的正確性與一致性，同時達到強化資料安全性的目的。

功能摘要：
1. 檢核日期、身分證字號、統編和數值轉換工具
2. 數字轉中文
3. 資料遮罩","資料處理/遮罩;資料解析;檢核;資料/檔案轉換","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Java","MIT ","Fortify SCA,Critical:0  High:0  Medium:0  Low:1;",""
"開放文件轉換系統","","https://github.com/moda-gov-tw/open-file-conversion-system;","當使用者需要將傳統Word、Excel或PDF進行開放文件格式轉換時，可透過本系統整合開放原始碼的 LibreOffice 文件轉換工具進行處理，解決了常見文件格式間直接轉換的問題，並可以進一步整合到定時整批排程處理的自動化處理作業中。

本系統能夠高效地將 .docx、.xlsx、.xls、.pdf 等文件格式轉換為 HTML、PDF、DOCX、XLSX、PPTX 等多種開放文件目標格式，有效提升文件轉換效率與文件有效利用的兼容性。

功能摘要：
1. Office文件、PDF文件及ODF文件轉換。
2. 各類文件轉換範例
3. 批次排程自動化處理應用","自動化;排程;解析轉換","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Java;Spring Boot","Apache License 2.0","Fortify SCA,Critical:0  High:0  Medium:0  Low:1;",""
"多語系資料字典處理系統","","https://github.com/moda-gov-tw/multilingual-data-dictionary-processing-system;","在全球化應用或資料庫中，常需要處理來自不同語言的資料，這個系統提供特定語系的排序與比較功能，允許開發人員根據不同區域設置（如繁體中文、英文、德文等）的語言規則來進行資料處理，解決由於各國語系排序和比較規則不同而導致的數據錯誤或不一致問題，讓各國語言的字串排序和比較盡量依照本地語言的習慣。可以應用在客製化功能選單、特定語系的公告搜尋與排序、多語言的文件搜尋排序等。

本系統以繁體功能處理為範例，確保繁體中文資料在操作中能依據設定要求保持正確性與一致性，從而各類應用的可靠性，亦能延伸應用在全球化與區域化系統。

功能摘要：
依據指定語言的規則來進行比較，例如，對於繁體中文會依照拼音或筆劃順序，而不是字母的順序。
設定比較強度，例如：區分大小寫、區分重音或筆畫等。例如：比較字母，可忽略大小寫、重音符號或筆畫數量；或區分重音符號，但不區分大小寫。","多語系;搜尋與排序;字典;資料處理/遮罩","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Java;Spring Boot","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:1;",""
"資料動態編碼轉換系統","","https://github.com/moda-gov-tw/data-encoding-transform;","資訊系統在提供創新服務而需要進行新舊系統整合時，當傳統資訊系統輸出的訊息或檔案無法以現代的資料標準進行處理，例如：無法處理XML或JSON格式轉換時，透過本系統提供傳統固定長度字串的動態處理功能，將符合特定位元代表特定欄位進行解析轉換，也解決了因文件編碼(encoding)長度不同而無法精準匹配的問題。

本系統依據使用者定義的編碼長度，及所需的位元組(bytes)長度進行動態填充與轉換，確保字元及位元組內容符合預設定義。這一動態填充功能使訊息或檔案能夠精密轉換，從而加速新舊系統的轉換整合，達到快速運用新技術提供舊系統資料服務的目的。

功能摘要：
1. 自訂資料處理編碼。
2. 自訂資料處理規則。
3. 提供待處理檔案/訊息的管理。
4. 提供訊息及檔案轉換範例。","訊息處理/通知;解析轉換;資料/檔案轉換","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Vue.js;Java;Spring Boot","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:0;",""
"資料加密傳輸儲存系統","","https://github.com/moda-gov-tw/data-encrypt-system;","當資訊系統需要進行訊息或檔案傳輸時，可透過本系統設定安全高效的演算法(例如：Sha3_256或HMAC)作為核心加密技術，解決資訊系統在傳輸過程中敏感資訊可能遭受外洩的問題，並確保依照嚴格的安全標準進行防護。

資訊系統可透過本系同提供的加密技術，應用在應用程式介面(API)請求驗證、資料簽章與密碼權杖的儲存，進而有效防範暴力破解、字典攻擊及重複性攻擊，達到保障資料安全的目的。

功能簡列：
1. 系統以網頁方式提供展示功能。
2. 客製化的加密處理流程，包含參數字節流轉換、加鹽(Salt)處理、 Base64 編碼和加密雜湊結果合併。
3.  基於密鑰的訊息驗證流程，允許使用固定密鑰對多個參數進行加密處理。並且具備高度靈活性，能夠根據業務需求進行擴展","加密;介接/傳輸;簽章","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Vue.js;Java;Spring Boot","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:0;",""
"前端網站資料安全處理框架","","https://github.com/moda-gov-tw/fn-field-validation;","當開發人員需要快速開發電子表單網站系統時，採用本框架以前端技術Vue實作的前端表單資料處理功能，可解決開發過程中繁瑣的表單設計與欄位檢核問題。

藉由使用此框架，開發人員可以迅速建立具備檢核功能的電子表單系統，達到加快開發速度與提升效率的目的。

功能摘要：
1. 提供以Vue為基礎的前端網頁框架。
2. 提供一鍵佈署之應用程式範例。
3. 提供彈性擴充驗證規則之表單欄位。
4. 提供欄位驗證範例：中、英文姓名檢核、檔案大小、附檔名檢核、證件號碼檢核。","表單填寫/資料上傳;安全框架;檢核","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Vue.js;Javascript;TypeScript;Nuxt;Nuxt UI","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:0;",""
"資料安全傳輸驗證系統","","https://github.com/moda-gov-tw/t-road-file-transfer-message-and-api-message-notify-test-module;","機關資訊系統間的資料傳輸以T-Road的安控伺服器(Secure Server，以下簡稱SS)進行傳輸時，因實體隔離的內部網路環境，技術人員不容易取得測試訊息進行問題分析的困境；透夠過本系統提供跨機關介接SS之驗證服務，可以驗證資訊傳輸是否符合介接訊息規格及應用程式介面(API)規範，解決在封閉網路環境下無法取得完整資訊分析的問題，進而加速跨機關間透過T-Road進行安全資料傳輸的轉換。

因此，透過本系統可協助開發人員在處理跨機關資訊系統介接時，於實體隔離的封閉網路情境下，仍能配合以安全的方式進行測試除錯，進而加速各業務系統轉換介接T-Road。

功能摘要：
1. 模擬T-Road安控伺服器(Secure Server)檔案傳輸及訊息傳輸API。
2. 模擬T-Road SS傳輸資料base64轉換。
3. 模擬T-Road SS必要參數之檢核。
4. 輸出T-Road SS介接模擬訊息完整Log。","安全驗證;訊息處理/通知;介接/傳輸","數位發展部","A29000000G","數位發展部","廖家翎","gz14055@moda.gov.tw","02-2380-0327","","","Java;Spring Boot","MIT","Fortify SCA,Critical:0  High:0  Medium:0  Low:1;",""
